,league
1810,NBA
1811,NBA
1812,NBA
1813,NBA
1814,NBA
1815,NBA
1816,NBA
1817,NBA
1818,NBA
1819,NBA
1820,NBA
1821,NBA
1822,NBA
1823,NBA
1824,NBA
1825,NBA
1826,NBA
1827,NBA
1828,NBA
1829,NBA
1830,NBA
1831,NBA
1832,NBA
1833,NBA
1834,NBA
1835,NBA
1836,NBA
1837,NBA
1838,NBA
1839,NBA
1840,NBA
1841,NBA
1842,NBA
1843,NBA
1844,NBA
1845,NBA
1846,NBA
1847,NBA
1848,NBA
1849,NBA
1850,NBA
1851,NBA
1852,NBA
1853,NBA
1854,NBA
1855,NBA
1856,NBA
1857,NBA
1858,NBA
1859,NBA
1860,NBA
1861,NBA
1862,NBA
1863,NBA
1864,NBA
1865,NBA
1866,NBA
1867,NBA
1868,NBA
1869,NBA
1870,NBA
1871,NBA
1872,NBA
1873,NBA
1874,NBA
1875,NBA
1876,NBA
1877,NBA
1878,NBA
1879,NBA
1880,NBA
1881,NBA
1882,NBA
1883,NBA
1884,NBA
1885,NBA
1886,NBA
1887,NBA
1888,NBA
1889,NBA
1890,NBA
1891,NBA
1892,NBA
1893,NBA
1894,NBA
1895,NBA
1896,NBA
1897,NBA
1898,NBA
1899,NBA
1900,NBA
1901,NBA
1902,NBA
1903,NBA
1904,NBA
1905,NBA
1906,NBA
1907,NBA
1908,NBA
1909,NBA
1910,NBA
1911,NBA
1912,NBA
1913,NBA
1914,NBA
1915,NBA
1916,NBA
1917,NBA
1918,NBA
1919,NBA
1920,NBA
1921,NBA
1922,NBA
1923,NBA
1924,NBA
1925,NBA
1926,NBA
1927,NBA
1928,NBA
1929,NBA
1930,NBA
1931,NBA
1932,NBA
1933,NBA
1934,NBA
1935,NBA
1936,NBA
1937,NBA
1938,NBA
1939,NBA
1940,NBA
1941,NBA
1942,NBA
1943,NBA
1944,NBA
1945,NBA
1946,NBA
1947,NBA
1948,NBA
1949,NBA
1950,NBA
1951,NBA
1952,NBA
1953,NBA
1954,NBA
1955,NBA
1956,NBA
1957,NBA
1958,NBA
1959,NBA
1960,NBA
1961,NBA
1962,NBA
1963,NBA
1964,NBA
1965,NBA
1966,NBA
1967,NBA
1968,NBA
1969,NBA
1970,NBA
1971,NBA
1972,NBA
1973,NBA
1974,NBA
1975,NBA
1976,NBA
1977,NBA
1978,NBA
1979,NBA
1980,NBA
1981,NBA
1982,NBA
1983,NBA
1984,NBA
1985,NBA
1986,NBA
1987,NBA
1988,NBA
1989,NBA
1990,NBA
1991,NBA
1992,NBA
1993,NBA
1994,NBA
1995,NBA
1996,NBA
1997,NBA
1998,NBA
1999,NBA
2000,NBA
2001,NBA
2002,NBA
2003,NBA
2004,NBA
2005,NBA
2006,NBA
2007,NBA
2008,NBA
2009,NBA
2010,NBA
2011,NBA
2012,NBA
2013,NBA
2014,NBA
2015,NBA
2016,NBA
2017,NBA
2018,NBA
2019,NBA
2020,NBA
2021,NBA
2022,NBA
2023,NBA
2024,NBA
2025,NBA
2026,NBA
2027,NBA
2028,NBA
2029,NBA
2030,NBA
2031,NBA
2032,NBA
2033,NBA
2034,NBA
2035,NBA
2036,NBA
2037,NBA
2038,NBA
2039,NBA
2040,NBA
2041,NBA
2042,NBA
2043,NBA
2044,NBA
2045,NBA
2046,NBA
2047,NBA
2048,NBA
2049,NBA
2050,NBA
2051,NBA
2052,NBA
2053,NBA
2054,NBA
2055,NBA
2056,NBA
2057,NBA
2058,NBA
2059,NBA
2060,NBA
2061,NBA
2062,NBA
2063,NBA
2064,NBA
2065,NBA
2066,NBA
2067,NBA
2068,NBA
2069,NBA
2070,NBA
2071,NBA
2072,NBA
2073,NBA
2074,NBA
2075,NBA
2076,NBA
2077,NBA
2078,NBA
2079,NBA
2080,NBA
2081,NBA
2082,NBA
2083,NBA
2084,NBA
2085,NBA
2086,NBA
2087,NBA
2088,NBA
2089,NBA
2090,NBA
2091,NBA
2092,NBA
2093,NBA
2094,NBA
2095,NBA
2096,NBA
2097,NBA
2098,NBA
2099,NBA
2100,NBA
2101,NBA
2102,NBA
2103,NBA
2104,NBA
2105,NBA
2106,NBA
2107,NBA
2108,NBA
2109,NBA
2110,NBA
2111,NBA
2112,NBA
2113,NBA
2114,NBA
2115,NBA
2116,NBA
2117,NBA
2118,NBA
2119,NBA
2120,NBA
2121,NBA
2122,NBA
2123,NBA
2124,NBA
2125,NBA
2126,NBA
2127,NBA
2128,NBA
2129,NBA
2130,NBA
2131,NBA
2132,NBA
2133,NBA
2134,NBA
2135,NBA
2136,NBA
2137,NBA
2138,NBA
2139,NBA
2140,NBA
